layer_id,layer_name,execution_time,cpu_cycles,mvp_instructions,mvp_stall_cycles,mvp_program_count
1,QUANTIZE,0.000766,59725,0,0,0
2,PAD,0.000854,66578,0,0,0
3,CONV_2D,0.000937,73121,40684,28468,1
4,MAX_POOL_2D,0.000085,6636,2540,470,2
5,PAD,0.000334,26033,0,0,0
6,CONV_2D,0.000989,77105,46752,26428,1
7,PAD,0.001171,91346,0,0,0
8,CONV_2D,0.003333,259955,168672,87382,1
9,PAD,0.001171,91346,0,0,0
10,CONV_2D,0.003333,259957,168672,87382,1
11,PAD,0.001171,91346,0,0,0
12,CONV_2D,0.002728,212821,137232,71688,1
13,MAX_POOL_2D,0.000192,14948,1536,112,8
14,PAD,0.000326,25431,0,0,0
15,CONV_2D,0.001228,95817,60800,31098,1
16,MAX_POOL_2D,0.000190,14826,336,39,8
17,AVERAGE_POOL_2D,0.000052,4019,72,20,1
18,RESHAPE,0.000007,530,0,0,0
19,FULLY_CONNECTED,0.000029,2248,19,11,1
20,LOGISTIC,0.000022,1754,0,0,0
21,DEQUANTIZE,0.000010,754,0,0,0
0,ALL,0.018927,1476296,627315,333098,26
1,QUANTIZE,0.000765,59660,0,0,0
2,PAD,0.000853,66567,0,0,0
3,CONV_2D,0.000937,73089,40684,28468,1
4,MAX_POOL_2D,0.000085,6592,2540,469,2
5,PAD,0.000334,26033,0,0,0
6,CONV_2D,0.000988,77093,46752,26428,1
7,PAD,0.001171,91346,0,0,0
8,CONV_2D,0.003333,259955,168672,87382,1
9,PAD,0.001171,91346,0,0,0
10,CONV_2D,0.003333,259957,168672,87382,1
11,PAD,0.001171,91346,0,0,0
12,CONV_2D,0.002728,212821,137232,71688,1
13,MAX_POOL_2D,0.000192,14948,1536,112,8
14,PAD,0.000326,25431,0,0,0
15,CONV_2D,0.001228,95817,60800,31098,1
16,MAX_POOL_2D,0.000190,14826,336,39,8
17,AVERAGE_POOL_2D,0.000052,4019,72,20,1
18,RESHAPE,0.000007,530,0,0,0
19,FULLY_CONNECTED,0.000029,2230,19,11,1
20,LOGISTIC,0.000006,504,0,0,0
21,DEQUANTIZE,0.000009,705,0,0,0
0,ALL,0.018908,1474815,627315,333097,26
1,QUANTIZE,0.000765,59674,0,0,0
2,PAD,0.000853,66567,0,0,0
3,CONV_2D,0.000937,73069,40684,28468,1
4,MAX_POOL_2D,0.000085,6598,2540,469,2
5,PAD,0.000334,26033,0,0,0
6,CONV_2D,0.000988,77093,46752,26428,1
7,PAD,0.001171,91346,0,0,0
8,CONV_2D,0.003333,259955,168672,87382,1
9,PAD,0.001171,91346,0,0,0
10,CONV_2D,0.003333,259957,168672,87382,1
11,PAD,0.001171,91346,0,0,0
12,CONV_2D,0.002728,212821,137232,71688,1
13,MAX_POOL_2D,0.000192,14948,1536,112,8
14,PAD,0.000326,25431,0,0,0
15,CONV_2D,0.001228,95817,60800,31098,1
16,MAX_POOL_2D,0.000190,14826,336,39,8
17,AVERAGE_POOL_2D,0.000052,4019,72,20,1
18,RESHAPE,0.000007,530,0,0,0
19,FULLY_CONNECTED,0.000029,2238,19,11,1
20,LOGISTIC,0.000023,1800,0,0,0
21,DEQUANTIZE,0.000010,754,0,0,0
0,ALL,0.018925,1476168,627315,333097,26
1,QUANTIZE,0.000765,59660,0,0,0
2,PAD,0.000853,66567,0,0,0
3,CONV_2D,0.000937,73089,40684,28468,1
4,MAX_POOL_2D,0.000085,6592,2540,469,2
5,PAD,0.000334,26033,0,0,0
6,CONV_2D,0.000988,77093,46752,26428,1
7,PAD,0.001171,91346,0,0,0
8,CONV_2D,0.003333,259955,168672,87382,1
9,PAD,0.001171,91346,0,0,0
10,CONV_2D,0.003333,259957,168672,87382,1
11,PAD,0.001171,91346,0,0,0
12,CONV_2D,0.002728,212821,137232,71688,1
13,MAX_POOL_2D,0.000192,14948,1536,112,8
14,PAD,0.000326,25431,0,0,0
15,CONV_2D,0.001228,95817,60800,31098,1
16,MAX_POOL_2D,0.000190,14826,336,39,8
17,AVERAGE_POOL_2D,0.000052,4019,72,20,1
18,RESHAPE,0.000007,530,0,0,0
19,FULLY_CONNECTED,0.000029,2230,19,11,1
20,LOGISTIC,0.000022,1748,0,0,0
21,DEQUANTIZE,0.000010,754,0,0,0
0,ALL,0.018924,1476108,627315,333097,26
1,QUANTIZE,0.000765,59660,0,0,0
2,PAD,0.000853,66567,0,0,0
3,CONV_2D,0.000937,73089,40684,28468,1
4,MAX_POOL_2D,0.000085,6592,2540,469,2
5,PAD,0.000334,26033,0,0,0
6,CONV_2D,0.000988,77093,46752,26428,1
7,PAD,0.001171,91346,0,0,0
8,CONV_2D,0.003333,259955,168672,87382,1
9,PAD,0.001171,91346,0,0,0
10,CONV_2D,0.003333,259957,168672,87382,1
11,PAD,0.001171,91346,0,0,0
12,CONV_2D,0.002728,212821,137232,71688,1
13,MAX_POOL_2D,0.000192,14948,1536,112,8
14,PAD,0.000326,25431,0,0,0
15,CONV_2D,0.001228,95817,60800,31098,1
16,MAX_POOL_2D,0.000190,14826,336,39,8
17,AVERAGE_POOL_2D,0.000052,4019,72,20,1
18,RESHAPE,0.000007,530,0,0,0
19,FULLY_CONNECTED,0.000029,2230,19,11,1
20,LOGISTIC,0.000022,1748,0,0,0
21,DEQUANTIZE,0.000010,754,0,0,0
0,ALL,0.018924,1476108,627315,333097,26
1,QUANTIZE,0.000765,59660,0,0,0
2,PAD,0.000853,66567,0,0,0
3,CONV_2D,0.000937,73089,40684,28468,1
4,MAX_POOL_2D,0.000085,6592,2540,469,2
5,PAD,0.000334,26033,0,0,0
6,CONV_2D,0.000988,77093,46752,26428,1
7,PAD,0.001171,91346,0,0,0
8,CONV_2D,0.003333,259955,168672,87382,1
9,PAD,0.001171,91346,0,0,0
10,CONV_2D,0.003333,259957,168672,87382,1
11,PAD,0.001171,91346,0,0,0
12,CONV_2D,0.002728,212821,137232,71688,1
13,MAX_POOL_2D,0.000192,14948,1536,112,8
14,PAD,0.000326,25431,0,0,0
15,CONV_2D,0.001228,95817,60800,31098,1
16,MAX_POOL_2D,0.000190,14826,336,39,8
17,AVERAGE_POOL_2D,0.000052,4019,72,20,1
18,RESHAPE,0.000007,530,0,0,0
19,FULLY_CONNECTED,0.000029,2230,19,11,1
20,LOGISTIC,0.000022,1748,0,0,0
21,DEQUANTIZE,0.000010,754,0,0,0
0,ALL,0.018924,1476108,627315,333097,26
1,QUANTIZE,0.000765,59660,0,0,0
2,PAD,0.000853,66567,0,0,0
3,CONV_2D,0.000937,73089,40684,28468,1
4,MAX_POOL_2D,0.000085,6592,2540,469,2
5,PAD,0.000334,26033,0,0,0
6,CONV_2D,0.000988,77093,46752,26428,1
7,PAD,0.001171,91346,0,0,0
8,CONV_2D,0.003333,259955,168672,87382,1
9,PAD,0.001171,91346,0,0,0
10,CONV_2D,0.003333,259957,168672,87382,1
11,PAD,0.001171,91346,0,0,0
12,CONV_2D,0.002728,212821,137232,71688,1
13,MAX_POOL_2D,0.000192,14948,1536,112,8
14,PAD,0.000326,25431,0,0,0
15,CONV_2D,0.001228,95817,60800,31098,1
16,MAX_POOL_2D,0.000190,14826,336,39,8
17,AVERAGE_POOL_2D,0.000052,4019,72,20,1
18,RESHAPE,0.000007,530,0,0,0
19,FULLY_CONNECTED,0.000029,2230,19,11,1
20,LOGISTIC,0.000022,1748,0,0,0
21,DEQUANTIZE,0.000010,754,0,0,0
0,ALL,0.018924,1476108,627315,333097,26
1,QUANTIZE,0.000765,59660,0,0,0
2,PAD,0.000853,66567,0,0,0
3,CONV_2D,0.000937,73089,40684,28468,1
4,MAX_POOL_2D,0.000085,6592,2540,469,2
5,PAD,0.000334,26033,0,0,0
6,CONV_2D,0.000988,77093,46752,26428,1
7,PAD,0.001171,91346,0,0,0
8,CONV_2D,0.003333,259955,168672,87382,1
9,PAD,0.001171,91346,0,0,0
10,CONV_2D,0.003333,259957,168672,87382,1
11,PAD,0.001171,91346,0,0,0
12,CONV_2D,0.002728,212821,137232,71688,1
13,MAX_POOL_2D,0.000192,14948,1536,112,8
14,PAD,0.000326,25431,0,0,0
15,CONV_2D,0.001228,95817,60800,31098,1
16,MAX_POOL_2D,0.000190,14826,336,39,8
17,AVERAGE_POOL_2D,0.000052,4019,72,20,1
18,RESHAPE,0.000007,530,0,0,0
19,FULLY_CONNECTED,0.000029,2230,19,11,1
20,LOGISTIC,0.000022,1748,0,0,0
21,DEQUANTIZE,0.000010,754,0,0,0
0,ALL,0.018924,1476108,627315,333097,26
1,QUANTIZE,0.000765,59660,0,0,0
2,PAD,0.000853,66567,0,0,0
3,CONV_2D,0.000937,73089,40684,28468,1
4,MAX_POOL_2D,0.000085,6592,2540,469,2
5,PAD,0.000334,26033,0,0,0
6,CONV_2D,0.000988,77093,46752,26428,1
7,PAD,0.001171,91346,0,0,0
8,CONV_2D,0.003333,259955,168672,87382,1
9,PAD,0.001171,91346,0,0,0
10,CONV_2D,0.003333,259957,168672,87382,1
11,PAD,0.001171,91346,0,0,0
12,CONV_2D,0.002728,212821,137232,71688,1
13,MAX_POOL_2D,0.000192,14948,1536,112,8
14,PAD,0.000326,25431,0,0,0
15,CONV_2D,0.001228,95817,60800,31098,1
16,MAX_POOL_2D,0.000190,14826,336,39,8
17,AVERAGE_POOL_2D,0.000052,4019,72,20,1
18,RESHAPE,0.000007,530,0,0,0
19,FULLY_CONNECTED,0.000029,2230,19,11,1
20,LOGISTIC,0.000022,1748,0,0,0
21,DEQUANTIZE,0.000010,754,0,0,0
0,ALL,0.018924,1476108,627315,333097,26
1,QUANTIZE,0.000765,59660,0,0,0
2,PAD,0.000853,66567,0,0,0
3,CONV_2D,0.000937,73089,40684,28468,1
4,MAX_POOL_2D,0.000085,6592,2540,469,2
5,PAD,0.000334,26033,0,0,0
6,CONV_2D,0.000988,77093,46752,26428,1
7,PAD,0.001171,91346,0,0,0
8,CONV_2D,0.003333,259955,168672,87382,1
9,PAD,0.001171,91346,0,0,0
10,CONV_2D,0.003333,259957,168672,87382,1
11,PAD,0.001171,91346,0,0,0
12,CONV_2D,0.002728,212821,137232,71688,1
13,MAX_POOL_2D,0.000192,14948,1536,112,8
14,PAD,0.000326,25431,0,0,0
15,CONV_2D,0.001228,95817,60800,31098,1
16,MAX_POOL_2D,0.000190,14826,336,39,8
17,AVERAGE_POOL_2D,0.000052,4019,72,20,1
18,RESHAPE,0.000007,530,0,0,0
19,FULLY_CONNECTED,0.000029,2230,19,11,1
20,LOGISTIC,0.000022,1748,0,0,0
21,DEQUANTIZE,0.000010,754,0,0,0
0,ALL,0.018924,1476108,627315,333097,26
